,text,class
124,yeni guadalupe,2
125,trabajo,0
126,ma adriana,2
127,cendejas,3
128,jose anselmo,1
129,ramon jesus,1
130,susana edith,2
131,naum,1
132,addy,2
133,rutilo,1
134,hinojos,3
135,torrecillas,3
136,erika georgina,2
137,uh,3
138,moises david,1
139,karla evelyn,2
140,massiel,2
141,schulz,3
142,dueñas,3
143,yannet,2
144,chame,3
145,monterrosas,3
146,nancy ivonne,2
147,se,0
148,gatica,3
149,fatima concepcion,2
150,susana beatriz,2
151,tax,3
152,rosa concepcion,2
153,rua,3
154,alma guadalupe,2
155,gustavo adolfo,1
156,us,3
157,ramon manuel,1
158,recendiz,3
159,zepeda,3
160,blanca leticia,2
161,juan bosco,1
162,martha socorro,2
163,addy del socorro,2
164,veronica de la luz,2
165,del muro,3
166,baiza,3
167,elvia margarita,2
168,es,0
169,juan rodolfo,1
170,esther del carmen,2
171,heraclio,1
172,pedrera,3
173,suleyma,2
174,martha eunice,2
175,ayllon,3
176,enriqueta del carmen,2
177,ma francisca,2
178,othon,3
179,baqueiro,3
180,perpuli,3
181,checan buro de,0
182,tejamanil,3
183,alma gisela,2
184,claudia mireya,2
185,serafina,2
186,titular,0
187,alberto,1
188,nestor,3
189,maria soco,2
190,edna veronica,2
191,aes,3
192,marlene alejandra,2
193,enrique david,1
194,responden si me,0
195,mungaray,3
196,yrma,2
197,jarvio,3
198,juan tomas,1
199,ivonne guadalupe,2
200,score crediticio minimo,0
201,david francisco,1
202,hernandez,3
203,xalpa,3
204,jesus albert,1
205,raquel,1
206,hector rogelio,1
207,jose j,1
208,gerardo enrique,1
209,revueltas,3
210,perla olivia,2
211,jose herminio,1
212,martha idalia,2
213,fidel antonio,1
214,jose jaime,1
215,mi,0
216,prestapal,0
217,monserrat guadalupe,2
218,olga evelia,2
219,parada,3
220,hay,0
221,garay,3
222,granillo,3
223,jose dionicio,1
224,roura,3
225,canul,3
226,peñuñuri,3
227,martha aurelia,2
228,miguel an,1
229,cual debe,0
230,sandra oralia,2
231,maria joaquina,2
232,sergio alberto,1
233,saul enrique,1
234,no tengo forma,0
235,antonio de jesus,1
236,luis fermin,1
237,jesus beatriz,2
238,cuesta,3
239,puedo,0
240,maria rosaura,2
241,cuanto pagare,0
242,laura socorro,2
243,jonguitud,3
244,rosa leticia,2
245,julian francisco,1
246,ana belem,2
247,luisa georgina,2
248,nestor daniel,1
249,mestizo,3
250,camila,2
251,con otra,0
252,adulfo,1
253,luis cesar,1
254,buenrrostro,3
255,presenda,3
256,eulogio,1
257,manuel gaspar,1
258,rascon,3
259,el,0
260,alfonso armando,1
261,marqueza,2
262,norma liliana,2
263,blanca marcela,2
264,merodio,3
265,rosa ana,2
266,carelia,2
267,rosario margarita,2
268,fausta,2
269,mumulmea,3
270,torres,3
271,carlos isidro,1
272,anavel,2
273,batrez,3
274,villarejo,3
275,yliana,2
276,se requiere,0
277,marylin,2
278,martines,3
279,dora ofelia,2
280,marlene del carmen,2
281,hector saul,1
282,ma ofelia,2
283,romulo,3
284,ma marta,2
285,gloria armida,2
286,datos,0
287,maria soc,2
288,tovias,3
289,mirna isabel,2
290,yovany,1
291,omar alejandro,1
292,de confirmacion,0
293,pinzon,3
294,donde,0
295,marcia patricia,2
296,angel arnulfo,1
297,isabel del rosario,2
298,solicitud no,0
299,bañuelos,3
300,cartujano,3
301,lilia graciela,2
302,j de jesus,1
303,mayra yanet,2
304,yazmin azucena,2
305,karina selene,2
306,maria andrea,2
307,maria jesus,1
308,aureoles,3
309,letechipia,3
310,zarraga,3
311,chale,3
312,angelica mari,2
313,maria alejand,2
314,jose homero,1
315,eneas,1
316,adriana eugenia,2
317,como puedo comprobar,0
318,posada,3
319,obed,1
320,daniel horacio,1
321,reynada,3
322,que pasa si,0
323,jorge abel,1
324,maria auxiliadora,2
325,juvenal,3
326,nicteha,2
327,laura aracely,2
328,monica lizeth,2
329,nadia karina,2
330,maria virginia,2
331,ricardo rafael,1
332,montao,3
333,evans,3
334,blanca rocio,2
335,bertha olivia,2
336,agraz,3
337,olazo,3
338,fatima del pilar,2
339,dora isabel,2
340,miroslaba,2
341,adalberto,1
342,ma de los angel,2
343,secundino,1
344,j merced,1
345,angel carlos,1
346,pueda marcar,0
347,flor edith,2
348,maceda,3
349,soni,3
350,prestapal,0
351,waldo,1
352,victoria elena,2
353,nestor david,1
354,mitzi,2
355,juan gerardo,1
356,pastor,1
357,lidia,2
358,constancia,2
359,andrea carolina,2
360,jesus leobardo,1
361,jose alber,1
362,itzel,2
363,martin daniel,1
364,ocaña,3
365,malabar,3
366,tolentino,3
367,pelcastre,3
368,garibo,3
369,guadalupe humberto,1
370,cesar roberto,1
371,bass,3
372,popomeya,3
373,francisco humberto,1
374,manuel adrian,1
375,claudia montserrat,2
376,roberto ruben,1
377,santa elena,2
378,muro,3
379,juan leonardo,1
380,jose ulises,1
381,lisseth,2
382,ximena,2
383,fidencio,1
384,san juan,3
385,freelance y no,0
386,maria alva,2
387,anticipados,0
388,amadelia,2
389,carmen susana,2
390,aznar,3
391,heladia,2
392,contreras,3
393,sergio andres,1
394,ma oralia,2
395,ledesma,3
396,quebrado,3
397,jerson,1
398,betzabet,2
399,noelia,2
400,en,0
401,muños,3
402,saldivar,3
403,laura del carmen,2
404,ma teresa de jesus,2
405,ayora,3
406,alicia catalina,2
407,zainos,3
408,ma olivia,2
409,barceinas,3
410,rafael salvador,1
411,tuyin,3
412,betanzos,3
413,maria leonila,2
414,jorge mario,1
415,miguel antonio,1
416,conejo,3
417,rosa miriam,2
418,maria belem,2
419,murcia,3
420,ma magdalena,2
421,manuela isabel,2
422,artemia,2
423,bravo,3
424,javier guadalupe,1
425,cabriales,3
426,lourdes patricia,2
427,hector gustavo,1
428,ana fabiola,2
429,carlos josue,1
430,elsa luz,2
431,karla susana,2
432,norma cristina,2
433,emma angelica,2
434,villano,3
435,alva luz,2
436,aza,3
437,caltempa,3
438,gerardo manuel,1
439,espinal,3
440,es un solo,0
441,simplicio,1
442,clariza,2
443,serra,3
444,leos,3
445,perla yanet,2
446,caraza,3
447,brenda marlene,2
448,covis,3
449,sergio aurelio,1
450,antonio javier,1
451,como puedo,0
452,maria demetria,2
453,uriostigue,3
454,martin francisco,1
455,gollolarte,3
456,escorcia,3
457,claudia gricelda,2
458,leonardo javier,1
459,nogueira,3
460,telesforo,3
461,lisbet,2
462,yabur,3
463,moranchel,3
464,abam,3
465,artalejo,3
466,mario aurelio,1
467,kenia,2
468,matla,3
469,elva leticia,2
470,imelda del rosario,2
471,gabriela josefina,2
472,laines,3
473,kathya,2
474,tiempo de aprobacion,0
475,ordonez,3
476,venavides,3
477,wendy lizeth,2
478,serdan,3
479,veronica isela,2
480,cubedo,3
481,jose eleazar,1
482,cruz martha,2
483,veronica del carmen,2
484,quiero,0
485,solicitud,0
486,con asesor,0
487,mazuca,3
488,enrique manuel,1
489,kanagusico,3
490,legaspi,3
491,campirano,3
492,aceptan las facturas,0
493,solange,2
494,apaez,3
495,juana irene,2
496,cesar edgardo,1
497,ismael alejandro,1
498,jocelyn,2
499,nancy graciela,2
500,y cabrera,3
501,fulgencio,1
502,mariz,3
503,tabita,2
504,berenice,2
505,jose ismael,1
506,dulce elena,2
507,victor david,1
508,cesar ivan,1
509,jupamea,3
510,gloricel,2
511,olga ines,2
512,pacio,3
513,isaura,2
514,grimaldi,3
515,yoshira,2
516,esparragoza,3
517,salvio,1
518,irma gabriela,2
519,milagros del carmen,2
520,centella,3
521,avianeda,3
522,xolaltenco,3
523,guadalupe elena,2
524,batres,3
525,roberto,2
526,mi credito,0
527,maria nayeli,2
528,coroy,3
529,joel roberto,1
530,blanca nery,2
531,lucia irene,2
532,manuel humberto,1
533,carmen ofelia,2
534,jose luciano,1
535,eraclio,1
536,sujey,2
537,gojon,3
538,angelica leticia,2
539,encina,3
540,landy beatriz,2
541,uziel,1
542,jaime raul,1
543,con mis,0
544,naxhiely,2
545,rodelo,3
546,antonia,1
547,servicios ofrecen,0
548,alacio,3
549,jessica marisol,2
550,coapango,3
551,tuyu,3
552,lina beatriz,2
553,pasaran,3
554,panes,3
555,lidia rocio,2
556,erika edith,2
557,amayo,3
558,lorena angelica,2
559,astivia,3
560,sergio,1
561,victoria del carmen,2
562,es,0
563,veronica magdalena,2
564,tabares,3
565,rosa lizbeth,2
566,juan isidro,1
567,de nomina debito,0
568,alcibar,3
569,bauman,3
570,maria felix,2
571,selina,2
572,guadalupe amparo,2
573,nancy leticia,2
574,de un,0
575,miguel oscar,1
576,cesar omar,1
577,alma lizeth,2
578,marien,2
579,lubiano,3
580,rosa,3
581,juana monica,2
582,sandra alicia,2
583,jose santana,1
584,ma del carm,2
585,francisco raymundo,1
586,en google,0
587,mano la,0
588,cardon,3
589,noema,2
590,adriana magdalena,2
591,jose teodoro,1
592,eva maria,2
593,belin,3
594,patricia,2
595,ayde,2
596,alberto manuel,1
597,javier de jesus,1
598,soteno,3
599,que tan seguido,0
600,gloria fabiola,2
601,ton,3
602,trabajo por comision,0
603,carlos felipe,1
604,muoz,3
605,j antonio,1
606,prudencio,3
607,fabiola elizabeth,2
608,hermelinda,2
609,utilizar,0
610,raygoza,3
611,santos manuel,1
612,merlin,3
613,nimbe,2
614,elsy del carmen,2
615,haro,3
616,martha de jesus,2
617,martha imelda,2
618,t,3
619,marco ivan,1
620,paco,1
621,lucero del carmen,2
622,ma belen,2
623,mauricio,1
624,teresa patricia,2
625,maria eulogia,2
626,miguel arcangel,1
627,elvia ruth,2
628,aurora beatriz,2
629,asuncion,2
630,ayup,3
631,jaime israel,1
632,lucila,2
633,puedo,0
634,silvia maria,2
635,ana isabe,2
636,juan gualberto,1
637,noria,3
638,norma enriqueta,2
639,del ine y,0
640,mapel,3
641,train,3
642,arroyo,3
643,ser,0
644,ireta,3
645,foto,0
646,sandra abigail,2
647,ana yuridia,2
648,ana karen,2
649,esdras,1
650,claudia de los angeles,2
651,erika rubi,2
652,mastranzo,3
653,orilla,3
654,serrano,3
655,gabriela adriana,2
656,nohemi guadalupe,2
657,zamira,2
658,carachure,3
659,nidia isabel,2
660,karina eugenia,2
661,jesus artemio,1
662,minero,3
663,ix,3
664,jiron,3
665,laura raquel,2
666,aida fabiola,2
667,roqueñi,3
668,jose daniel,1
669,ichin,3
670,labrada,3
671,davis,3
672,blanca estel,2
673,hector manuel,1
674,mi cuenta,0
675,me,0
676,rondin,3
677,pescina,3
678,meneses,3
679,verdeja,3
680,casasanero,3
681,zepeta,3
682,fraijo,3
683,ordaz,3
684,fimbres,3
685,karla isabel,2
686,angela victoria,2
687,maria francis,2
688,me,0
689,espana,3
690,cuali,3
691,jennyfer,2
692,fondea los creditos,0
693,maria de lourdes,2
694,esperanza margarita,2
695,sulpicio,1
696,en,0
697,ubicados,0
698,jose romeo,1
699,veliz,3
700,dora ines,2
701,veda,2
702,maconcepcion,2
703,aurea,2
704,niño,3
705,ayax,1
706,adriana del rocio,2
707,calzada,3
708,ana maritza,2
709,fausto enrique,1
710,dulce yadira,2
711,dinorin,3
712,reyna adriana,2
713,monica lizbeth,2
714,felipe arturo,1
715,luis abraham,1
716,castellon,3
717,livier,2
718,jessica yazmin,2
719,oronzor,3
720,permite adjuntar toda,0
721,eduardo humberto,1
722,arquieta,3
723,jesus luis,1
724,alma de jesus,2
725,echazarreta,3
726,talonia,3
727,cesar rogelio,1
728,saltillo,3
729,almendra,2
730,dora alicia,2
731,m carmen,2
732,susana guadalupe,2
733,dora elva,2
734,maria idali,2
735,laurian,3
736,berrios,3
737,arbelia,2
738,ma de los,2
739,sarrelangue,3
740,que tipo de,0
741,banco,0
742,por llenar,0
743,maria de la salud,2
744,error,0
745,en,0
746,bartolo,3
747,perpuly,3
748,maria celina,2
749,mercedes margarita,2
750,vilches,3
751,claudia judith,2
752,dora elizabeth,2
753,tecuapacho,3
754,carlos arturo,1
755,allende,3
756,olivia isabel,2
757,pecero,3
758,gladys edith,2
759,veronica del,2
760,david gerardo,1
761,tampoco mi,0
762,erives,3
763,jose rafael,1
764,tobon,3
765,carmen lizbeth,2
766,amanda,2
767,historial para un,0
768,el,0
769,ma raquel,2
770,anzar,3
771,ceciliano,3
772,luis raymundo,1
773,galdeano,3
774,mabel guadalupe,2
775,araceli margarita,2
776,paola karina,2
777,gavilanez,3
778,christian armando,1
779,yadira concepcion,2
780,abasolo,3
781,ma ester,2
782,cedillo,3
783,identificacion,0
784,ma del sagrario,2
785,mercader,3
786,rolando,1
787,sergio rafael,1
788,campos,0
789,david guadalupe,1
790,con,0
791,eliut,2
792,oquil,3
793,monterde,3
794,interian,3
795,candia,3
796,aguiña,3
797,flerida,2
798,monica del rocio,2
799,ma veronica,2
800,claudia aide,2
801,rita cecilia,2
802,si quiero cancelar,0
803,m raquel,2
804,providencia,2
805,valerdi,3
806,guadalupe edith,2
807,hector vicente,1
808,laura julieta,2
809,ma olga,2
810,tengo,0
811,iris guadalupe,2
812,araceli del rosario,2
813,cerrato,3
814,los depositos,0
815,desiree,2
816,enrique israel,1
817,gelacia,2
818,se necesitan,0
819,blanca esth,2
820,maria felipa,2
821,sabeer cual mi,0
822,redondo,3
823,acuna,3
824,elia esther,2
825,guerra,3
826,juana aracely,2
827,vazquez del mercado,3
828,madora,3
829,ye,3
830,hilda lucia,2
831,aldava,3
832,sandobal,3
833,guadalupe eugenia,2
834,juan filemon,1
835,galaz,3
836,jabalera,3
837,rocio susana,2
838,celene,2
839,orellan,3
840,honorato,3
841,raul david,1
842,arceta,3
843,maliachi,3
844,anton,3
845,leticia rocio,2
846,ramon angel,1
847,que,0
848,suchite,3
849,oscar luis,1
850,un prestamo por,0
851,yevismea,3
852,ana leonor,2
853,xochitl elizabeth,2
854,la solicitud,0
855,maria gabriela,2
856,vilma del carmen,2
857,odila,2
858,liera,3
859,elided,2
860,edgar misael,1
861,mata,3
862,maria angeles,2
863,marañon,3
864,miguel rodolfo,1
865,alma elvira,2
866,mauro martin,1
867,alaniz,3
868,salce,3
869,edgar gilberto,1
870,ernesto alfonso,1
871,miriam estela,2
872,juana leonor,2
873,arispuro,3
874,cobix,3
875,dora margarita,2
876,adrian alberto,1
877,roxana lizbeth,2
878,marlene,2
879,gabriela,2
880,hacer un,0
881,wendy,2
882,ibares,3
883,analy,2
884,elvira leticia,2
885,de jesus,3
886,raquel eugenia,2
887,arizmendi,3
888,freddi,1
889,juan abraham,1
890,ariosto,1
891,erika maritza,2
892,martin gustavo,1
893,gamundi,3
894,orenday,3
895,anna karina,2
896,blanca margarita,2
897,jose german,1
898,lucia josefina,2
899,yanneth,2
900,forma,0
901,verdines,3
902,martha julia,2
903,darey,3
904,tonatiuh,1
905,osiris,2
906,para,0
907,hugo edgardo,1
908,maria enriqu,2
909,chin,3
910,de credito,0
911,juan porfirio,1
912,el portal van,0
913,carmen catalina,2
914,ofelia guadalupe,2
915,yuren,1
916,luis adrian,1
917,que,0
918,tahuilan,3
919,leonor isabel,2
920,que haces,0
921,recibo mis ingresos,0
922,taboada,3
923,cuenta de prestadero,0
924,yolanda del socorro,2
925,mi codigo,0
926,lourdes gabriela,2
927,herculano,3
928,nahu,1
929,esther carolina,2
930,valente,1
931,los bancos que,0
932,pat,3
933,fraudes,0
934,roberto ulises,1
935,tengo,0
936,eugenia isabel,2
937,casio,3
938,guadalupe raquel,2
939,camara,3
940,trabajador,0
941,martha letic,2
942,jose erasmo,1
943,juana,3
944,no,0
945,victor jesus,1
946,carrizo,3
947,modesta,2
948,es valida,0
949,telefono,0
950,jarquin,3
951,carreto,3
952,guillermo javier,1
953,gloria angelica,2
954,puedo solicitar,0
955,pavel,1
956,jose jacobo,1
957,maria rosario,2
958,cristen,3
959,materesa,2
960,tzuc,3
961,sara judith,2
962,carmen elena,2
963,jeanette,2
964,lina mercedes,2
965,francelia,2
966,juan mario,1
967,celestin,3
968,soraida,2
969,perla margarita,2
970,vitaliano,1
971,martina,3
972,yadira angelica,2
973,norma georgina,2
974,nohpal,3
975,un credito,0
976,miriam yazmin,2
977,amparo de jesus,2
978,manuel de je,1
979,gilberto jesus,1
980,tlacotempa,3
981,eufrocina,2
982,diana minerva,2
983,candelaria,2
984,ericka,2
985,hugo javier,1
986,mesino,3
987,mayra araceli,2
988,luis fabian,1
989,maria marina,2
990,heleodora,2
991,juanico,3
992,irma nohemi,2
993,y no me,0
994,romana,2
995,praxedis,3
996,talledos,3
997,fabiana,2
998,besares,3
999,tepixtle,3
1000,arjon,3
1001,mensajes al lugar,0
1002,ma arcelia,2
1003,maria virgen,2
1004,pedro rene,1
1005,yolanda maria,2
1006,luz gabriela,2
1007,lopes,3
1008,astrid,2
1009,ramon alonso,1
1010,efrain antonio,1
1011,maria ro,2
1012,manlio fabio,1
1013,avelardo,1
1014,ana monica,2
1015,cuate,3
1016,ruano,3
1017,david,3
1018,nora maria,2
1019,cabrieles,3
1020,eva marcela,2
1021,nestor hugo,1
1022,irma yolanda,2
1023,juana erika,2
1024,la,0
1025,oregon,3
1026,gone,3
1027,jorge hugo,1
1028,ibal,3
1029,linarez,3
1030,irma raquel,2
1031,yucupicio,3
1032,monica leticia,2
1033,humbertina,2
1034,tania elizabeth,2
1035,lino,1
1036,tenreiro,3
1037,jose del carmen,1
1038,son,0
1039,jocabet,2
1040,mimbela,3
1041,ruezga,3
1042,cristobal,1
1043,aguilera,3
1044,maria lourde,2
1045,aura,2
1046,ana myriam,2
1047,indalecio,1
1048,pascacio,1
1049,margarita del pilar,2
1050,monjardin,3
1051,anallely,2
1052,fanny elizabeth,2
1053,beristain,3
1054,cesar antonio,1
1055,juana margarita,2
1056,me avisan,0
1057,ana sarai,2
1058,elsa leticia,2
1059,floribel,2
1060,monica daniela,2
1061,eustoquia,2
1062,ordoñez,3
1063,wilma esther,2
1064,tejeida,3
1065,pago,0
1066,raul cesar,1
1067,karla yanet,2
1068,pariente,3
1069,ipatzi,3
1070,enid,2
1071,farina,3
1072,me despido,0
1073,olga berenice,2
1074,yupit,3
1075,blanca perla,2
1076,alicia gabriela,2
1077,cuatecontzi,3
1078,juan jaime,1
1079,lilibet,2
1080,heber,2
1081,jorge alfonso,1
1082,ivan guadalupe,1
1083,j santos,1
1084,paul ivan,1
1085,navejas,3
1086,arroyos,3
1087,virginia magdalena,2
1088,yara del carmen,2
1089,ni,0
1090,orrico,3
1091,costilla,3
1092,victor aurelio,1
1093,nelia,2
1094,maria ele,2
1095,como le,0
1096,angel alberto,1
1097,lo he,0
1098,cazares,3
1099,maria macarena,2
1100,casian,3
1101,como se realizan,0
1102,herminia,2
1103,carmen alejandra,2
1104,m del socorro,2
1105,acebo,3
1106,manda,0
1107,de mi,0
1108,cuento cuenta,0
1109,dora elda,2
1110,leopoldo,1
1111,erika del rocio,2
1112,facturas o,0
1113,cual es,0
1114,bandilla,3
1115,francisco jav,1
1116,aldo omar,1
1117,rached,3
1118,diana karen,2
1119,tobar,3
1120,ma dominga,2
1121,rafael martin,1
1122,marta isabel,2
1123,albino,3
1124,lepez,3
1125,ana berenice,2
1126,felix alejandro,1
1127,maria marisol,2
1128,freddy alberto,1
1129,yendi nayeli,2
1130,maria patri,2
1131,rumbo,3
1132,wendy susana,2
1133,cirina,2
1134,santaolaya,3
1135,estupiñan,3
1136,no me aprobaron,0
1137,rene salvador,1
1138,benjamin,3
1139,veronica iliana,2
1140,raquel guadalupe,2
1141,maria concepci,2
1142,urista,3
1143,seferina,2
1144,mayra yolanda,2
1145,icedo,3
1146,faltan documentos,0
1147,no lo tengo,0
1148,saravia,3
1149,cuenta si soy,0
1150,wendolyn,2
1151,quiero saber,0
1152,tendero,3
1153,jose vicente,1
1154,belio,3
1155,cleopatra,2
1156,cantua,3
1157,david rafael,1
1158,gricelda guadalupe,2
1159,maria remedio,2
1160,roy,3
1161,dora delia,2
1162,eva leticia,2
1163,norma yazmin,2
1164,mercedes gabriela,2
1165,zoila margarita,2
1166,david uriel,1
1167,marta laura,2
1168,como se,0
1169,claudia ivett,2
1170,paulina guadalupe,2
1171,la informacion,0
1172,escareño,3
1173,casimiro,1
1174,prestamo para,0
1175,sierras,3
1176,los rendimientos,0
1177,rosalva guadalupe,2
1178,mario carlos,1
1179,luis rosendo,1
1180,ranchito,3
1181,patricia cristina,2
1182,luz,2
1183,gloria aurora,2
1184,carlos angel,1
1185,jose adalberto,1
1186,irma liliana,2
1187,santiaga,2
1188,laura eugenia,2
1189,jose julio,1
1190,luevanos,3
1191,maria de jesus guadalupe,2
1192,crisogono,1
1193,georgina leticia,2
1194,carino,3
1195,solicite un credito,0
1196,bonales,3
1197,carlos antonio,1
1198,anzures,3
1199,marcos gerardo,1
1200,elsa gabriela,2
1201,ma lourdes,2
1202,lilia eugenia,2
1203,vasques,3
1204,lafuente,3
1205,vianet,2
1206,leticia judith,2
1207,moncayo,3
1208,mano comprobante,0
1209,calletano,1
1210,roselina,2
1211,leticia dolores,2
1212,veronica teresa,2
1213,sara maria,2
1214,mario jesus,1
1215,espiridion,1
1216,hugo francisco,1
1217,maria de las nieves,2
1218,karla lizeth,2
1219,de eligio,3
1220,luis omar,1
1221,willy,1
1222,adilia,2
1223,figueroa,3
1224,lagui,3
1225,castillejo,3
1226,zara,2
1227,jose abel,1
1228,maria carme,2
1229,sinhue,1
1230,laura antonia,2
1231,tengo,0
1232,mancha,3
1233,florian,3
1234,jose baldemar,1
1235,muñoz,3
1236,velazquillo,3
1237,garfio,3
1238,manuel octavio,1
1239,me,0
1240,arturo guillermo,1
1241,martha alejandra,2
1242,gervacio,3
1243,montealegre,3
1244,muñoa,3
1245,ramon humberto,1
1246,rosario adriana,2
1247,romaldo,1
1248,jesus florentino,1
1249,baray,3
1250,gustavo adrian,1
1251,un error,0
1252,natividad del carmen,2
1253,erika alejandra,2
1254,lomas,3
1255,berlin,3
1256,loperena,3
1257,miriam judith,2
1258,eso,0
1259,veronica adriana,2
1260,luz ma,2
1261,maria elva,2
1262,niño,3
1263,chicon,3
1264,mayra lizzeth,2
1265,pedro bernardo,1
1266,bedoya,3
1267,xaman,3
1268,gonzalez,1
1269,nandez,3
1270,toribio,3
1271,mogollon,3
1272,puedo hacer,0
1273,melchor,3
1274,diana consuelo,2
1275,karla teresa,2
1276,alejandra isabel,2
1277,trabajo no,0
1278,anet,2
1279,gloria hortencia,2
1280,juan eduardo,1
1281,cohetero,3
1282,gilberto enrique,1
1283,campuzano,3
1284,juan patricio,1
1285,abelino,1
1286,linarte,3
1287,grimaldo,3
1288,felipa,2
1289,negreros,3
1290,vizguerra,3
1291,roberto arturo,1
1292,savala,3
1293,martha guadalu,2
1294,marta patricia,2
1295,perla lizbeth,2
1296,ma rosalba,2
1297,piña,3
1298,brenda magaly,2
1299,amor,2
1300,raudel,1
1301,maria lidia,2
1302,ma mayela,2
1303,santiago jesus,1
1304,abrajan,3
1305,cenovio,1
1306,villaseñor,3
1307,lorenia,2
1308,jose baldomero,1
1309,villaverde,3
1310,irma del carmen,2
1311,norma lorena,2
1312,estibaliz,2
1313,julio damian,1
1314,bastarrachea,3
1315,salasar,3
1316,sandra erika,2
1317,de,0
1318,monica aracely,2
1319,terminel,3
1320,chaira,3
1321,lambaren,3
1322,agapito,1
1323,gloria marina,2
1324,pichon,3
1325,jose isabel,1
1326,antonia maria,2
1327,y hernandez,3
1328,maria rosa isela,2
1329,mirelia,2
1330,lares,3
1331,liliana esther,2
1332,urge el,0
1333,maritza,2
1334,j asencion,1
1335,maria del p,2
1336,nieto,3
1337,creditos,0
1338,ana lizeth,2
1339,maria hilaria,2
1340,isaias,2
1341,cristina teresa,2
1342,evodio,3
1343,crucita,2
1344,calvillo,3
1345,chao,0
1346,martha margarita,2
1347,catalina concepcion,2
1348,eduardo enrique,1
1349,escutia,3
1350,jorge felipe,1
1351,daniel,1
1352,arista,3
1353,leines,3
1354,brenda susana,2
1355,rosa andrea,2
1356,soqui,3
1357,laura dolores,2
1358,quiero,0
1359,sanchez,3
1360,heriberto,1
1361,juan enrique,1
1362,bencomo,3
1363,nathali,2
1364,cointa,2
1365,martha elba,2
1366,larisa,2
1367,karla guadalupe,2
1368,arriero,3
1369,ruanova,3
1370,piedad,2
1371,neira,2
1372,jaime everardo,1
1373,de gaona,3
1374,rafael antonio,1
1375,olivero,1
1376,de,0
1377,jorge gabriel,1
1378,prestamo de,0
1379,getsemani,2
1380,ma araceli,2
1381,lilia rocio,2
1382,leticia estela,2
1383,arrezola,3
1384,gloria emma,2
1385,tarjeta,0
1386,mercedes beatriz,2
1387,montaño,3
1388,desiderio,3
1389,informacion,0
1390,cazalez,3
1391,en,0
1392,cinar,1
1393,gloria lorena,2
1394,veronica ivonne,2
1395,lo se,0
1396,julia del carmen,2
1397,manuel ignacio,1
1398,avendaño,3
1399,guadalupe,1
1400,villicaña,3
1401,cermeno,3
1402,rosenda,2
1403,maria evangelina,2
1404,margarita leticia,2
1405,lizeth del carmen,2
1406,carmen ruth,2
1407,palemonte,3
1408,alma erendira,2
1409,bertha mireya,2
1410,que,0
1411,de,0
1412,jesus gregorio,1
1413,puedo mandar un,0
1414,arreaga,3
1415,farfan,3
1416,ruth abigail,2
1417,david rey,1
1418,sainos,3
1419,maria dolore,2
1420,arauza,3
1421,ma carmen,2
1422,cesar ernesto,1
1423,zongua,3
1424,santa veronica,2
1425,rosa melida,2
1426,iris azucena,2
1427,jorge ulises,1
1428,como los,0
1429,guillermo rene,1
